time,open,high,low,close,volume
2026-08-03T08:00:00+00:00,1.083,1.0836,1.0826,1.0834,1000
2026-08-03T08:15:00+00:00,1.0834,1.0852,1.0832,1.085,1000
2026-08-03T08:30:00+00:00,1.085,1.088,1.0847,1.0876,1000
2026-08-03T08:45:00+00:00,1.0876,1.0878,1.0856,1.086,1000
2026-08-03T09:00:00+00:00,1.086,1.0864,1.0842,1.0846,1000
2026-08-03T09:15:00+00:00,1.0846,1.0866,1.0844,1.0864,1000
2026-08-03T09:30:00+00:00,1.0864,1.0866,1.0838,1.084,1000
2026-08-03T09:45:00+00:00,1.084,1.0844,1.0824,1.0828,1000
2026-08-03T10:00:00+00:00,1.0828,1.0832,1.082,1.0823,1000
2026-08-03T10:15:00+00:00,1.0823,1.0826,1.0818,1.0822,1000
2026-08-03T10:30:00+00:00,1.0822,1.0834,1.082,1.0832,1000
2026-08-03T10:45:00+00:00,1.0832,1.0836,1.0821,1.0824,1000
2026-08-03T11:00:00+00:00,1.0824,1.083,1.08205,1.0827,1000
2026-08-03T11:15:00+00:00,1.0827,1.083,1.0806,1.0826,1000
2026-08-03T11:30:00+00:00,1.0828,1.083,1.0825,1.0829,1000
2026-08-03T11:45:00+00:00,1.0829,1.0872,1.0828,1.087,1000
2026-08-03T12:00:00+00:00,1.0856,1.0876,1.0854,1.0872,1000
2026-08-03T12:15:00+00:00,1.0872,1.0874,1.0842,1.0848,1000
2026-08-03T12:30:00+00:00,1.0848,1.0862,1.0845,1.086,1000
2026-08-03T12:45:00+00:00,1.086,1.0882,1.0856,1.088,1000
2026-08-03T13:00:00+00:00,1.088,1.089,1.0876,1.0884,1000
2026-08-03T13:15:00+00:00,1.0884,1.0886,1.087,1.0874,1000
2026-08-03T13:30:00+00:00,1.0874,1.0878,1.0864,1.0868,1000
2026-08-03T13:45:00+00:00,1.0868,1.0872,1.0864,1.0868,1000
2026-08-03T14:00:00+00:00,1.0868,1.0872,1.0864,1.0868,1000
2026-08-03T14:15:00+00:00,1.0868,1.0872,1.0864,1.0868,1000
2026-08-03T14:30:00+00:00,1.0868,1.0872,1.0864,1.0868,1000
2026-08-03T14:45:00+00:00,1.0868,1.0872,1.0864,1.0868,1000
2026-08-03T15:00:00+00:00,1.0868,1.0872,1.0864,1.0868,1000
2026-08-03T15:15:00+00:00,1.095,1.0956,1.0946,1.0954,1000
2026-08-03T15:30:00+00:00,1.0954,1.0972,1.0952,1.097,1000
2026-08-03T15:45:00+00:00,1.097,1.1,1.0967,1.0996,1000
2026-08-03T16:00:00+00:00,1.0996,1.0998,1.0976,1.098,1000
2026-08-03T16:15:00+00:00,1.098,1.0984,1.0962,1.0966,1000
2026-08-03T16:30:00+00:00,1.0966,1.0986,1.0964,1.0984,1000
2026-08-03T16:45:00+00:00,1.0984,1.0986,1.0958,1.096,1000
2026-08-03T17:00:00+00:00,1.096,1.0964,1.0944,1.0948,1000
2026-08-03T17:15:00+00:00,1.0948,1.0952,1.094,1.0943,1000
2026-08-03T17:30:00+00:00,1.0943,1.0946,1.0938,1.0942,1000
2026-08-03T17:45:00+00:00,1.0942,1.0954,1.094,1.0952,1000
2026-08-03T18:00:00+00:00,1.0952,1.0956,1.0941,1.0944,1000
2026-08-03T18:15:00+00:00,1.0944,1.095,1.09405,1.0947,1000
2026-08-03T18:30:00+00:00,1.0947,1.095,1.0926,1.0946,1000
2026-08-03T18:45:00+00:00,1.0948,1.095,1.0945,1.0949,1000
2026-08-03T19:00:00+00:00,1.0949,1.0992,1.0948,1.099,1000
2026-08-03T19:15:00+00:00,1.0976,1.098,1.097,1.0972,1000
2026-08-03T19:30:00+00:00,1.0972,1.0976,1.0952,1.0954,1000
2026-08-03T19:45:00+00:00,1.0954,1.0956,1.0926,1.0928,1000
2026-08-03T20:00:00+00:00,1.0928,1.093,1.0918,1.092,1000
2026-08-03T20:15:00+00:00,1.092,1.0924,1.0916,1.0921,1000
2026-08-03T20:30:00+00:00,1.0921,1.0926,1.0918,1.0922,1000
2026-08-03T20:45:00+00:00,1.0922,1.0926,1.0918,1.0922,1000
2026-08-03T21:00:00+00:00,1.0922,1.0926,1.0918,1.0922,1000
2026-08-03T21:15:00+00:00,1.0922,1.0926,1.0918,1.0922,1000
2026-08-03T21:30:00+00:00,1.0922,1.0926,1.0918,1.0922,1000
2026-08-03T21:45:00+00:00,1.0922,1.0926,1.0918,1.0922,1000
2026-08-03T22:00:00+00:00,1.0922,1.0926,1.0918,1.0922,1000
2026-08-03T22:15:00+00:00,1.109,1.1096,1.1086,1.1094,1000
2026-08-03T22:30:00+00:00,1.1094,1.1112,1.1092,1.111,1000
2026-08-03T22:45:00+00:00,1.111,1.114,1.1107,1.1136,1000
2026-08-03T23:00:00+00:00,1.1136,1.1138000000000001,1.1116,1.112,1000
2026-08-03T23:15:00+00:00,1.112,1.1124,1.1102,1.1106,1000
2026-08-03T23:30:00+00:00,1.1106,1.1126,1.1104,1.1124,1000
2026-08-03T23:45:00+00:00,1.1124,1.1126,1.1098000000000001,1.11,1000
2026-08-04T00:00:00+00:00,1.11,1.1104,1.1084,1.1088,1000
2026-08-04T00:15:00+00:00,1.1088,1.1092,1.108,1.1083,1000
2026-08-04T00:30:00+00:00,1.1083,1.1086,1.1078000000000001,1.1082,1000
2026-08-04T00:45:00+00:00,1.1082,1.1094,1.108,1.1092,1000
2026-08-04T01:00:00+00:00,1.1092,1.1096,1.1081,1.1084,1000
2026-08-04T01:15:00+00:00,1.1084,1.109,1.10805,1.1087,1000
